"measure","status","current_description","replacement_description","expression"
"meas.ssr_history_target_converted_acct_count_ytd_sply_diff","KEEP","Count of ssr history target converted acct count ytd sply diff. Respects the current filter context.","Calculates target converted account count year-to-date same period last year difference in the current reporting context.",""
"meas.ssr_history_target_disqualified_acct_count_mtd","KEEP","Count of ssr history target disqualified acct count mtd. Respects the current filter context.","Returns target disqualified account count month-to-date.","-- get the dates
			var curr_date = CALCULATE(MAX(cal_end_dates[Date])) // get the mgmt current end date
			var end_date = curr_date
			var end_date_sply = date(Year(end_date) -1,Month(end_date),day(end_date)) // get the yoy end date
			var start_year = Year(curr_date) 
			var start_qtr_month = (Quarter(curr_date) * 3) - 2  
			var start_month = Month(curr_date)
			var start_date_ytd = date(start_year,1,1)  
			var start_date_ytd_sply = date(start_year-1,1,1)  
			var start_date_qtd = date(start_year,start_qtr_month ,1)  
			var start_date_qtd_sply = date(start_year -1,start_qtr_month,1)  
			var start_date_mtd = date(start_year,start_month,1)  
			var start_date_mtd_sply = date(start_year -1,start_month,1)  
			
			
			var res = CALCULATE(
			    [meas.ssr_target_disqualified_acct_count],
			    cal_end_dates[Date] >=  start_date_mtd &&  cal_end_dates[Date] <= end_date
			)
			RETURN
			IF( res = BLANK(), 0, res)"
"meas.ssr_history_target_disqualified_acct_count_mtd_sply","KEEP","Count of ssr history target disqualified acct count mtd sply. Respects the current filter context.","Returns target disqualified account count month-to-date same period last year.","-- get the dates
			var curr_date = CALCULATE(MAX(cal_end_dates[Date])) // get the mgmt current end date
			var end_date = curr_date
			var end_date_sply = date(Year(end_date) -1,Month(end_date),day(end_date)) // get the yoy end date
			var start_year = Year(curr_date) 
			var start_qtr_month = (Quarter(curr_date) * 3) - 2  
			var start_month = Month(curr_date)
			var start_date_ytd = date(start_year,1,1)  
			var start_date_ytd_sply = date(start_year-1,1,1)  
			var start_date_qtd = date(start_year,start_qtr_month ,1)  
			var start_date_qtd_sply = date(start_year -1,start_qtr_month,1)  
			var start_date_mtd = date(start_year,start_month,1)  
			var start_date_mtd_sply = date(start_year -1,start_month,1)  
			
			
			var res = CALCULATE(
			    [meas.ssr_target_disqualified_acct_count],
			    cal_end_dates[Date] >=  start_date_mtd_sply &&  cal_end_dates[Date] <= end_date_sply
			)
			RETURN
			IF( res = BLANK(), 0, res)"
"meas.ssr_history_target_disqualified_acct_count_mtd_sply_diff","KEEP","Count of ssr history target disqualified acct count mtd sply diff. Respects the current filter context.","Calculates target disqualified account count month-to-date same period last year difference in the current reporting context.",""
"meas.ssr_history_target_disqualified_acct_count_qtd","KEEP","Count of ssr history target disqualified acct count qtd. Respects the current filter context.","Returns target disqualified account count quarter-to-date.","-- get the dates
			var curr_date = CALCULATE(MAX(cal_end_dates[Date])) // get the mgmt current end date
			var end_date = curr_date
			var end_date_sply = date(Year(end_date) -1,Month(end_date),day(end_date)) // get the yoy end date
			var start_year = Year(curr_date) 
			var start_qtr_month = (Quarter(curr_date) * 3) - 2  
			var start_month = Month(curr_date)
			var start_date_ytd = date(start_year,1,1)  
			var start_date_ytd_sply = date(start_year-1,1,1)  
			var start_date_qtd = date(start_year,start_qtr_month ,1)  
			var start_date_qtd_sply = date(start_year -1,start_qtr_month,1)  
			var start_date_mtd = date(start_year,start_month,1)  
			var start_date_mtd_sply = date(start_year -1,start_month,1)  
			
			
			var res = CALCULATE(
			    [meas.ssr_target_disqualified_acct_count],
			    cal_end_dates[Date] >=  start_date_qtd &&  cal_end_dates[Date] <= end_date
			)
			RETURN
			IF( res = BLANK(), 0, res)"
"meas.ssr_history_target_disqualified_acct_count_qtd_sply","KEEP","Count of ssr history target disqualified acct count qtd sply. Respects the current filter context.","Returns target disqualified account count quarter-to-date same period last year.","-- get the dates
			var curr_date = CALCULATE(MAX(cal_end_dates[Date])) // get the mgmt current end date
			var end_date = curr_date
			var end_date_sply = date(Year(end_date) -1,Month(end_date),day(end_date)) // get the yoy end date
			var start_year = Year(curr_date) 
			var start_qtr_month = (Quarter(curr_date) * 3) - 2  
			var start_month = Month(curr_date)
			var start_date_ytd = date(start_year,1,1)  
			var start_date_ytd_sply = date(start_year-1,1,1)  
			var start_date_qtd = date(start_year,start_qtr_month ,1)  
			var start_date_qtd_sply = date(start_year -1,start_qtr_month,1)  
			var start_date_mtd = date(start_year,start_month,1)  
			var start_date_mtd_sply = date(start_year -1,start_month,1)  
			
			
			var res = CALCULATE(
			    [meas.ssr_target_disqualified_acct_count],
			    cal_end_dates[Date] >=  start_date_qtd_sply &&  cal_end_dates[Date] <= end_date_sply
			)
			RETURN
			IF( res = BLANK(), 0, res)"
"meas.ssr_history_target_disqualified_acct_count_qtd_sply_diff","KEEP","Count of ssr history target disqualified acct count qtd sply diff. Respects the current filter context.","Calculates target disqualified account count quarter-to-date same period last year difference in the current reporting context.",""
"meas.ssr_history_target_disqualified_acct_count_ytd","KEEP","Count of ssr history target disqualified acct count ytd. Respects the current filter context.","Returns target disqualified account count year-to-date.","-- get the dates
			var curr_date = CALCULATE(MAX(cal_end_dates[Date])) // get the mgmt current end date
			var end_date = curr_date
			var end_date_sply = date(Year(end_date) -1,Month(end_date),day(end_date)) // get the yoy end date
			var start_year = Year(curr_date) 
			var start_qtr_month = (Quarter(curr_date) * 3) - 2  
			var start_month = Month(curr_date)
			var start_date_ytd = date(start_year,1,1)  
			var start_date_ytd_sply = date(start_year-1,1,1)  
			var start_date_qtd = date(start_year,start_qtr_month ,1)  
			var start_date_qtd_sply = date(start_year -1,start_qtr_month,1)  
			var start_date_mtd = date(start_year,start_month,1)  
			var start_date_mtd_sply = date(start_year -1,start_month,1)  
			
			
			var res = CALCULATE(
			    [meas.ssr_target_disqualified_acct_count],
			    cal_end_dates[Date] >=  start_date_ytd &&  cal_end_dates[Date] <= end_date
			)
			RETURN
			IF( res = BLANK(), 0, res)"
"meas.ssr_history_target_disqualified_acct_count_ytd_sply","KEEP","Count of ssr history target disqualified acct count ytd sply. Respects the current filter context.","Returns target disqualified account count year-to-date same period last year.","-- get the dates
			var curr_date = CALCULATE(MAX(cal_end_dates[Date])) // get the mgmt current end date
			var end_date = curr_date
			var end_date_sply = date(Year(end_date) -1,Month(end_date),day(end_date)) // get the yoy end date
			var start_year = Year(curr_date) 
			var start_qtr_month = (Quarter(curr_date) * 3) - 2  
			var start_month = Month(curr_date)
			var start_date_ytd = date(start_year,1,1)  
			var start_date_ytd_sply = date(start_year-1,1,1)  
			var start_date_qtd = date(start_year,start_qtr_month ,1)  
			var start_date_qtd_sply = date(start_year -1,start_qtr_month,1)  
			var start_date_mtd = date(start_year,start_month,1)  
			var start_date_mtd_sply = date(start_year -1,start_month,1)  
			
			
			var _accts = CALCULATE(
			    [meas.ssr_target_disqualified_acct_count],
			    cal_end_dates[Date] >=  start_date_ytd_sply &&  cal_end_dates[Date] <= end_date_sply
			)
			RETURN
			_accts"
"meas.ssr_history_target_disqualified_acct_count_ytd_sply_diff","KEEP","Count of ssr history target disqualified acct count ytd sply diff. Respects the current filter context.","Calculates target disqualified account count year-to-date same period last year difference in the current reporting context.",""
"meas.ssr_history_target_engagement_rate","KEEP","Rate of ssr history target engagement rate. Respects the current filter context.","Calculates target engagement rate in the current reporting context.",""
"meas.ssr_history_target_filter_screen","KEEP","Measure calculating ssr history target filter screen. Respects the current filter context.","Returns target filter screen.","VAR _maxt_date = CALCULATE(MAX(cal_end_dates[Date]))
			VAR _latest_step_end_date = 
			CALCULATE(
			    MAX(ssr_history[step_end_date]),
			    ssr_history[step_end_date]<=_maxt_date,
			    ALLEXCEPT(ssr_history, ssr[crm_name])
			)
			
			RETURN
			IF(
			    max(ssr_history[step_end_date]) =_latest_step_end_date,
			    1,
			    0
			)"
"meas.ssr_history_target_latest_outcome","KEEP","Measure calculating ssr history target latest outcome. Respects the current filter context.","Calculates target latest outcome in the current reporting context.",""
"meas.ssr_history_target_propensity","KEEP","Measure calculating ssr history target propensity. Respects the current filter context.","Calculates target propensity in the current reporting context.",""
"meas.ssr_history_target_screen_step_outcome","KEEP","Measure calculating ssr history target screen step outcome. Respects the current filter context.","Calculates target screen step outcome in the current reporting context.",""
"meas.ssr_history_target_stkhlds_tot_count","KEEP","Count of ssr history target stkhlds tot count. Respects the current filter context.","Calculates target stakeholders total count in the current reporting context.",""
"meas.ssr_history_time_effort_conf","KEEP","Measure calculating ssr history time effort conf. Respects the current filter context.","Calculates time effort confidence in the current reporting context.",""
"meas.ssr_history_time_effort_src","KEEP","Measure calculating ssr history time effort src. Respects the current filter context.","Returns time effort src.","var _str = 
			SWITCH(
			        MAX(ssr_history[stkhlds_all_adj_dur_rule]),
			        116023, ""Owner’s Deal Activities (Adj. by ACL)"",
			        116024, ""Owner & Colleagues’ Deal Activities (w. Similar Outcome/Length)"",
			        116021, ""Colleagues’ Deal Activities (w. Similar Outcome/Length)"",  // condition for the rule
			        116022, ""Industry Benchmarks (w. Similar Outcome/Length)""
			    )
			RETURN 
			 _str"
"meas.ssr_history_top_250_leads","KEEP","Measure calculating ssr history top 250 leads. Respects the current filter context.","Returns top 250 leads.","VAR sel_date = [meas.sel_date]
			VAR filtered_tbl =
			    FILTER(
			        ssr_history,
			        ssr_history[_sys_filt_start_date] < sel_date
			    )
			VAR top_250 =
			    TOPN(
			        250,
			        filtered_tbl,
			        ssr_history[_sys_filt_start_date], -- Sort by this column
			        DESC
			    )
			VAR rank_num = 
			    RANKX(
			        top_250,
			        MAX(ssr_history[_sys_filt_start_date]),
			        ,
			        DESC,
			        Skip
			    )
			RETURN
			    rank_num"
"meas.ssr_history_total_adj_duration_hrs","KEEP","Measure calculating ssr history total adj duration hrs. Respects the current filter context.","Calculates total adjusted duration hours in the current reporting context.",""
"meas.ssr_history_total_adj_eng_duration_hrs","KEEP","Measure calculating ssr history total adj eng duration hrs. Respects the current filter context.","Calculates total adjusted eng duration hours in the current reporting context.",""
"meas.ssr_history_total_all_dur_hrs","KEEP","Measure calculating ssr history total all dur hrs. Respects the current filter context.","Summarizes total all duration hours.","var dur = CALCULATE(
			    SUM(
			        ssr_history[stkhlds_all_dur]  // get the actual duration of the stkhlds 
			    )
			)/3600          // turn into hrs
			var res  = dur
			RETURN
			IF(
			    res =BLANK(),
			    0,
			    res
			)"
"meas.ssr_history_touched_accounts","KEEP","Count of ssr history touched accounts. Respects the current filter context.","Calculates the number of touched accounts where step is Prospecting.","CALCULATE(DISTINCTCOUNT(ssr_history[_sys_ssr_id]), ssr_history[step_name] =""Prospecting"")"
"meas.ssr_history_touched_accounts_rate","KEEP","Rate of ssr history touched accounts rate. Respects the current filter context.","Calculates touched accounts rate in the current reporting context.",""
"meas.ssr_history_unique_reps_avg_count","KEEP","Count of ssr history unique reps avg count. Respects the current filter context.","Calculates unique reps average count in the current reporting context.",""
"meas.ssr_history_unique_reps_count","KEEP","Count of ssr history unique reps count. Respects the current filter context.","Calculates unique reps count in the current reporting context.",""
"meas.ssr_history_unsuccessful_count","KEEP","Count of ssr history unsuccessful count. Respects the current filter context.","Calculates unsuccessful count in the current reporting context.",""
"meas.ssr_history_user_peers_avg_booking_amt_mtd","KEEP","Average of ssr history user peers avg booking amt mtd. Respects the current filter context.","Calculates the number of user peers average booking amount month-to-date where step is Existing Customer Selling or New Logo Selling, successful records.","-- get the dates
			var curr_date = CALCULATE(MAX(cal_end_dates[Date])) // get the mgmt current end date
			var end_date = curr_date
			var end_date_sply = date(Year(end_date) -1,Month(end_date),day(end_date)) // get the yoy end date
			var start_year = Year(curr_date) 
			var start_qtr_month = (Quarter(curr_date) * 3) - 2  
			var start_month = Month(curr_date)
			var start_date_ytd = date(start_year,1,1)  
			var start_date_ytd_sply = date(start_year-1,1,1)  
			var start_date_qtd = date(start_year,start_qtr_month ,1)  
			var start_date_qtd_sply = date(start_year -1,start_qtr_month,1)  
			var start_date_mtd = date(start_year,start_month,1)  
			var start_date_mtd_sply = date(start_year -1,start_month,1)  
			
			var user_role_aliased = CALCULATE(MAX(users[col.trueai_user_role_coid_aliased]))      // get the user role aliased
			var user_group = CALCULATE(MAX(users[trueai_group])) // get the step_owner_user group
			
			var reps = CALCULATE(
			    COUNTROWS(DISTINCT(SELECTCOLUMNS(FILTER(
			        users,
			        users[trueai_user_role]=user_role_aliased &&
			        users[trueai_group]=user_group
			    ),
			    [_sys_doc_id]))),
			   ALL()
			)
			var book_amt = CALCULATE(
			    SUMX(
			        FILTER(
			            ssr_history,
			            ssr_history[_sys_filt_end_date] >=  start_date_mtd &&  ssr_history[_sys_filt_end_date] <= end_date && 
			            ssr_history[step_success] = true && ssr_history[step_name] in{""Existing Customer Selling"", ""New Logo Selling""} &&
			            ssr_history[step_owner_user_role]=user_role_aliased && ssr_history[col.step_owner_group]=user_group
			        ),
			        ssr_history[opp_booking_amt]
			    ),
			    ALL()
			)
			var res = DIVIDE(
			    book_amt,
			    reps
			)
			
			return res"
"meas.ssr_history_user_peers_avg_booking_amt_qtd","KEEP","Average of ssr history user peers avg booking amt qtd. Respects the current filter context.","Calculates the number of user peers average booking amount quarter-to-date where step is Existing Customer Selling or New Logo Selling, successful records.","-- get the dates
			var curr_date = CALCULATE(MAX(cal_end_dates[Date])) // get the mgmt current end date
			var end_date = curr_date
			var end_date_sply = date(Year(end_date) -1,Month(end_date),day(end_date)) // get the yoy end date
			var start_year = Year(curr_date) 
			var start_qtr_month = (Quarter(curr_date) * 3) - 2  
			var start_month = Month(curr_date)
			var start_date_ytd = date(start_year,1,1)  
			var start_date_ytd_sply = date(start_year-1,1,1)  
			var start_date_qtd = date(start_year,start_qtr_month ,1)  
			var start_date_qtd_sply = date(start_year -1,start_qtr_month,1)  
			var start_date_mtd = date(start_year,start_month,1)  
			var start_date_mtd_sply = date(start_year -1,start_month,1)  
			
			var user_role_aliased = CALCULATE(MAX(users[col.trueai_user_role_coid_aliased]))      // get the user role aliased
			var user_group = CALCULATE(MAX(users[trueai_group])) // get the step_owner_user group
			
			var reps = CALCULATE(
			    COUNTROWS(DISTINCT(SELECTCOLUMNS(FILTER(
			        users,
			        users[trueai_user_role]=user_role_aliased &&
			        users[trueai_group]=user_group
			    ),
			    [_sys_doc_id]))),
			   ALL()
			)
			var book_amt = CALCULATE(
			    SUMX(
			        FILTER(
			            ssr_history,
			            ssr_history[_sys_filt_end_date] >=  start_date_qtd &&  ssr_history[_sys_filt_end_date] <= end_date && 
			            ssr_history[step_success] = true && ssr_history[step_name] in{""Existing Customer Selling"", ""New Logo Selling""} &&
			            ssr_history[step_owner_user_role]=user_role_aliased && ssr_history[col.step_owner_group]=user_group
			        ),
			        ssr_history[opp_booking_amt]
			    ),
			    ALL()
			)
			var res = DIVIDE(
			    book_amt,
			    reps
			)
			
			return res"
"meas.ssr_history_user_peers_avg_booking_amt_ytd","KEEP","Average of ssr history user peers avg booking amt ytd. Respects the current filter context.","Calculates the number of user peers average booking amount year-to-date where step is Existing Customer Selling or New Logo Selling, successful records.","-- get the dates
			var curr_date = CALCULATE(MAX(cal_end_dates[Date])) // get the mgmt current end date
			var end_date = curr_date
			var end_date_sply = date(Year(end_date) -1,Month(end_date),day(end_date)) // get the yoy end date
			var start_year = Year(curr_date) 
			var start_qtr_month = (Quarter(curr_date) * 3) - 2  
			var start_month = Month(curr_date)
			var start_date_ytd = date(start_year,1,1)  
			var start_date_ytd_sply = date(start_year-1,1,1)  
			var start_date_qtd = date(start_year,start_qtr_month ,1)  
			var start_date_qtd_sply = date(start_year -1,start_qtr_month,1)  
			var start_date_mtd = date(start_year,start_month,1)  
			var start_date_mtd_sply = date(start_year -1,start_month,1)  
			
			var user_role_aliased = CALCULATE(MAX(users[col.trueai_user_role_coid_aliased]))      // get the user role aliased
			var user_group = CALCULATE(MAX(users[trueai_group])) // get the step_owner_user group
			
			var reps = CALCULATE(
			    COUNTROWS(DISTINCT(SELECTCOLUMNS(FILTER(
			        users,
			        users[trueai_user_role]=user_role_aliased &&
			        users[trueai_group]=user_group
			    ),
			    [_sys_doc_id]))),
			   ALL()
			)
			var book_amt = CALCULATE(
			    SUMX(
			        FILTER(
			            ssr_history,
			            ssr_history[_sys_filt_end_date] >=  start_date_ytd &&  ssr_history[_sys_filt_end_date] <= end_date && 
			            ssr_history[step_success] = true && ssr_history[step_name] in{""Existing Customer Selling"", ""New Logo Selling""} &&
			            ssr_history[step_owner_user_role]=user_role_aliased && ssr_history[col.step_owner_group]=user_group
			        ),
			        ssr_history[opp_booking_amt]
			    ),
			    ALL()
			)
			var res = DIVIDE(
			    book_amt,
			    reps
			)
			
			return res"
"meas.ssr_history_user_peers_avg_pipeline_amt_mtd","KEEP","Average of ssr history user peers avg pipeline amt mtd. Respects the current filter context.","Calculates the number of user peers average pipeline amount month-to-date where step is Prospecting or Post-Sales Support, successful records.","-- get the dates
			var curr_date = CALCULATE(MAX(cal_end_dates[Date])) // get the mgmt current end date
			var end_date = curr_date
			var end_date_sply = date(Year(end_date) -1,Month(end_date),day(end_date)) // get the yoy end date
			var start_year = Year(curr_date) 
			var start_qtr_month = (Quarter(curr_date) * 3) - 2  
			var start_month = Month(curr_date)
			var start_date_ytd = date(start_year,1,1)  
			var start_date_ytd_sply = date(start_year-1,1,1)  
			var start_date_qtd = date(start_year,start_qtr_month ,1)  
			var start_date_qtd_sply = date(start_year -1,start_qtr_month,1)  
			var start_date_mtd = date(start_year,start_month,1)  
			var start_date_mtd_sply = date(start_year -1,start_month,1)  
			
			var user_role_aliased = CALCULATE(MAX(users[col.trueai_user_role_coid_aliased]))      // get the user role aliased
			var user_group = CALCULATE(MAX(users[trueai_group])) // get the step_owner_user group
			
			var reps = CALCULATE(
			    COUNTROWS(DISTINCT(SELECTCOLUMNS(FILTER(
			        users,
			        users[trueai_user_role]=user_role_aliased &&
			        users[trueai_group]=user_group
			    ),
			    [_sys_doc_id]))),
			   ALL()
			)
			var pipeline_amt = CALCULATE(
			    SUMX(
			        FILTER(
			            ssr_history,
			            ssr_history[_sys_filt_end_date] >=  start_date_mtd &&  ssr_history[_sys_filt_end_date] <= end_date && 
			            ssr_history[step_success] = true && ssr_history[step_name] in{""Prospecting"", ""Post-Sales Support""} &&
			            ssr_history[step_owner_user_role]=user_role_aliased && ssr_history[col.step_owner_group]=user_group
			        ),
			        ssr_history[opp_pipeline_amt]
			    ),
			    ALL()
			)
			var res = DIVIDE(
			    pipeline_amt,
			    reps
			)
			
			return res"
"meas.ssr_history_user_peers_avg_pipeline_amt_qtd","KEEP","Average of ssr history user peers avg pipeline amt qtd. Respects the current filter context.","Calculates the number of user peers average pipeline amount quarter-to-date where step is Prospecting or Post-Sales Support, successful records.","-- get the dates
			var curr_date = CALCULATE(MAX(cal_end_dates[Date])) // get the mgmt current end date
			var end_date = curr_date
			var end_date_sply = date(Year(end_date) -1,Month(end_date),day(end_date)) // get the yoy end date
			var start_year = Year(curr_date) 
			var start_qtr_month = (Quarter(curr_date) * 3) - 2  
			var start_month = Month(curr_date)
			var start_date_ytd = date(start_year,1,1)  
			var start_date_ytd_sply = date(start_year-1,1,1)  
			var start_date_qtd = date(start_year,start_qtr_month ,1)  
			var start_date_qtd_sply = date(start_year -1,start_qtr_month,1)  
			var start_date_mtd = date(start_year,start_month,1)  
			var start_date_mtd_sply = date(start_year -1,start_month,1)  
			
			var user_role_aliased = CALCULATE(MAX(users[col.trueai_user_role_coid_aliased]))      // get the user role aliased
			var user_group = CALCULATE(MAX(users[trueai_group])) // get the step_owner_user group
			
			var reps = CALCULATE(
			    COUNTROWS(DISTINCT(SELECTCOLUMNS(FILTER(
			        users,
			        users[trueai_user_role]=user_role_aliased &&
			        users[trueai_group]=user_group
			    ),
			    [_sys_doc_id]))),
			   ALL()
			)
			var pipeline_amt = CALCULATE(
			    SUMX(
			        FILTER(
			            ssr_history,
			            ssr_history[_sys_filt_end_date] >=  start_date_qtd &&  ssr_history[_sys_filt_end_date] <= end_date && 
			            ssr_history[step_success] = true && ssr_history[step_name] in{""Prospecting"", ""Post-Sales Support""} &&
			            ssr_history[step_owner_user_role]=user_role_aliased && ssr_history[col.step_owner_group]=user_group
			        ),
			        ssr_history[opp_pipeline_amt]
			    ),
			    ALL()
			)
			var res = DIVIDE(
			    pipeline_amt,
			    reps
			)
			
			return res"
"meas.ssr_history_user_peers_avg_pipeline_amt_ytd","KEEP","Average of ssr history user peers avg pipeline amt ytd. Respects the current filter context.","Calculates the number of user peers average pipeline amount year-to-date where step is Prospecting or Post-Sales Support, successful records.","-- get the dates
			var curr_date = CALCULATE(MAX(cal_end_dates[Date])) // get the mgmt current end date
			var end_date = curr_date
			var end_date_sply = date(Year(end_date) -1,Month(end_date),day(end_date)) // get the yoy end date
			var start_year = Year(curr_date) 
			var start_qtr_month = (Quarter(curr_date) * 3) - 2  
			var start_month = Month(curr_date)
			var start_date_ytd = date(start_year,1,1)  
			var start_date_ytd_sply = date(start_year-1,1,1)  
			var start_date_qtd = date(start_year,start_qtr_month ,1)  
			var start_date_qtd_sply = date(start_year -1,start_qtr_month,1)  
			var start_date_mtd = date(start_year,start_month,1)  
			var start_date_mtd_sply = date(start_year -1,start_month,1)  
			
			var user_role_aliased = CALCULATE(MAX(users[col.trueai_user_role_coid_aliased]))      // get the user role aliased
			var user_group = CALCULATE(MAX(users[trueai_group])) // get the step_owner_user group
			
			var reps = CALCULATE(
			    COUNTROWS(DISTINCT(SELECTCOLUMNS(FILTER(
			        users,
			        users[trueai_user_role]=user_role_aliased &&
			        users[trueai_group]=user_group
			    ),
			    [_sys_doc_id]))),
			   ALL()
			)
			var pipeline_amt = CALCULATE(
			    SUMX(
			        FILTER(
			            ssr_history,
			            ssr_history[_sys_filt_end_date] >=  start_date_ytd &&  ssr_history[_sys_filt_end_date] <= end_date && 
			            ssr_history[step_success] = true && ssr_history[step_name] in{""Prospecting"", ""Post-Sales Support""} &&
			            ssr_history[step_owner_user_role]=user_role_aliased && ssr_history[col.step_owner_group]=user_group
			        ),
			        ssr_history[opp_pipeline_amt]
			    ),
			    ALL()
			)
			var res = DIVIDE(
			    pipeline_amt,
			    reps
			)
			
			return res"
"meas.ssr_history_vi_value_created","KEEP","Measure calculating ssr history vi value created. Respects the current filter context.","Summarizes vi value created.","var val_created = CALCULATE(sum(ssr_history[vi_value_created]))
			var res = val_created
			return res"
"meas.ssr_history_vi_value_created_per_hr","KEEP","Measure calculating ssr history vi value created per hr. Respects the current filter context.","Summarizes vi value created per hr.","var vc = Calculate(sum(ssr_history[vi_value_created]))
			var res = divide( vc, [meas.ssr_history_duration_hrs], BLANK()) 
			return res"
"meas.ssr_history_vi_value_created_per_rep","KEEP","Measure calculating ssr history vi value created per rep. Respects the current filter context.","Calculates vi value created per rep in the current reporting context.",""
"meas.ssr_history_win_rate","KEEP","Rate of ssr history win rate. Respects the current filter context.","Calculates win rate in the current reporting context.",""
"meas.ssr_history_win_rate_diff","KEEP","Rate of ssr history win rate diff. Respects the current filter context.","Returns win rate difference.","var _selected_item = SELECTEDVALUE(time_intelligence[filt_item])
			
			-- get the dates
			var curr_date = CALCULATE(MAX(cal_end_dates[Date])) // get the mgmt current end date
			var end_date = curr_date
			var end_date_sply = date(Year(end_date) -1,Month(end_date),day(end_date)) // get the yoy end date
			var start_year = Year(curr_date) 
			var start_qtr_month = (Quarter(curr_date) * 3) - 2  
			var start_month = Month(curr_date)
			var start_date_ytd = date(start_year,1,1)  
			var start_date_ytd_sply = date(start_year-1,1,1)
			var start_date_qtd = date(start_year,start_qtr_month ,1)  
			var start_date_qtd_sply = date(start_year -1,start_qtr_month,1)
			var start_date_mtd = date(start_year,start_month,1)  
			var start_date_mtd_sply = date(start_year -1,start_month,1)
			
			-- get data for overridden date periods but still contextual
			var mtd_delta =DIVIDE(
			    (
			      CALCULATE([meas.ssr_history_win_rate],cal_end_dates[Date] >=  start_date_mtd &&  cal_end_dates[Date] <= end_date) - CALCULATE([meas.ssr_history_win_rate],cal_end_dates[Date] >=  start_date_mtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			    ),          // mtd calculation
			    CALCULATE([meas.ssr_history_win_rate],cal_end_dates[Date] >=  start_date_mtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			)
			
			var qtd_delta =DIVIDE(
			    (
			      CALCULATE([meas.ssr_history_win_rate],cal_end_dates[Date] >=  start_date_qtd &&  cal_end_dates[Date] <= end_date) - CALCULATE([meas.ssr_history_win_rate],cal_end_dates[Date] >=  start_date_qtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			    ),          // qtd calculation
			    CALCULATE([meas.ssr_history_win_rate],cal_end_dates[Date] >=  start_date_qtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			)
			
			var ytd_delta =DIVIDE(
			    (
			      CALCULATE([meas.ssr_history_win_rate],cal_end_dates[Date] >=  start_date_ytd &&  cal_end_dates[Date] <= end_date) - CALCULATE([meas.ssr_history_win_rate],cal_end_dates[Date] >=  start_date_ytd_sply &&  cal_end_dates[Date] <= end_date_sply)
			    ),      // ytd calculation
			    CALCULATE([meas.ssr_history_win_rate],cal_end_dates[Date] >=  start_date_ytd_sply &&  cal_end_dates[Date] <= end_date_sply)
			)
			
			var res = IF(
			    _selected_item=""MTD"", 
			    mtd_delta,
			    IF(
			        _selected_item=""QTD"",
			        qtd_delta,
			        IF(
			            _selected_item=""YTD"",
			            ytd_delta
			        )
			    )
			)
			
			
			RETURN
			res"
"meas.ssr_history_won_amt","KEEP","Measure calculating ssr history won amt. Respects the current filter context.","Calculates won amount in the current reporting context.",""
